Title,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Artist9,ArtistA,ArtistB,Words1,Words2,Words3,Words4,Words5,Music1,Music2,Music3,Music4,Arrangement1,Arrangement2,Arrangement3,Album,Year,TrackNum,TotalTracks,YouTube,Length
Lovin’ Life,Kenneth Cope,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,,,,EFY 1986: Lovin’ Life (1986),1986,1,1,,
Sailin’ Home,Michael Webb,,,,,,,,,,,Michael Webb,,,,,Michael Webb,,,,Vaughn Johnson,,,EFY 1987: Sailin’ Home (1987),1987,1,10,,
Stay Out of Deep Water,Kenneth Cope,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,Randy Kartchner,,,EFY 1987: Sailin’ Home (1987),1987,2,10,,
Footprints in the Sand,Julie de Azevedo,,,,,,,,,,,Barbara Tanner,Randy Thorderson,,,,Barbara Tanner,Randy Thorderson,,,Randy Thorderson,,,EFY 1987: Sailin’ Home (1987),1987,3,10,,
Ups and Downs,Kenneth Cope,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,Randy Kartchner,,,EFY 1987: Sailin’ Home (1987),1987,4,10,,
Let the World Dance,Julie de Azevedo,,,,,,,,,,,Barbara Tanner,Julie de Azevedo,Lex de Azevedo,,,Barbara Tanner,Julie de Azevedo,Lex de Azevedo,,Vaughn Johnson,,,EFY 1987: Sailin’ Home (1987),1987,5,10,,
Time to Sail On,Felicia Sorensen Wolfe,,,,,,,,,,,Barbara Tanner,Lex de Azevedo,,,,Barbara Tanner,Lex de Azevedo,,,Randy Kartchner,,,EFY 1987: Sailin’ Home (1987),1987,6,10,,
Eye of the Storm,Michael Webb,,,,,,,,,,,Gale Hollaway,Vaughn Johnson,,,,Gale Hollaway,Vaughn Johnson,,,Vaughn Johnson,,,EFY 1987: Sailin’ Home (1987),1987,7,10,,
There’s No Guarantee,Kenneth Cope,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,Randy Kartchner,,,EFY 1987: Sailin’ Home (1987),1987,8,10,,
Like a Lighthouse,Michael Webb,,,,,,,,,,,Michael Webb,,,,,Michael Webb,,,,Vaughn Johnson,,,EFY 1987: Sailin’ Home (1987),1987,9,10,,
